51201001000000001020610000000000020610 038 100 027 T         038 100 027 T        083003259D2400001AöT STL  S       17-234530  |
51202001000000001020610000000000020610 038 100 027 T         038 100 027 T        083003259D2400001ABT STL  S              30  |
53203001000000001020610000000000020610 038 100 027 T         038 100 027 T        083003259D2400001ABT STL  S              30  |
51204001000000001020610000000000020610 038 100 027 T         038 100 027 T        083003259D2400001ABT STL  S              30  |
51205001000000001020610000000000020610 038 100 027 T         038 100 027 T        083003259D2400001ABT STL  S              30  |
51206001000000001020610000000000020610 038 100 027 T         038 100 027 T        083003259D2400001ABT STL  S              30  |
51207001000000001020610000000000020610 038 100 027 T         038 100 027 T        083003259D2400001ABT STL  S              30  |
51208001000000001020610000000000020610 038 100 027 T         038 100 027 T        083003259D2400001ABT STL  S              30  |
51209001000000001020610000000000020610 038 100 027 T         038 100 027 T        083003259D2400001ABT STL  S              30  |
51201001000000001020610000000000020610 038 100 027 T         038 100 027 T        083003259D2400001ABT STL  S              30  |
51201001000000001020610000000000020610 038 100 027 T         038 100 027 T        083003259D2400001ABT STL  S              30  |
